FB,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nom Produit,,,, , ,,Rotor,,Moteur,,Shaft,,,,,,,,,,,,,,,,,,,,,
,,ID,Marque,Réference,Gamme,Version,Classe,KV,Poids,Hauteur,Diametre,Hauteur,Diametre,Diammetre Shaft,Longeur Shaft,Type Shaft,Vis Hélice,Fixation,Entraxe de Fixation,Nb C,Lipo Voltage,Longueur Cable,Type cable,Puissance,Conso Statique,Conso Full,Esc recommandé,Hélice recommandé,Amperage Max,Utilisation,Résistance,Aimant,Configuration,Lien Officiel,IMG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3BHO-2306-1800,3BHOBBY,3BF 2306,20-24 Series,V1,2306,1800,29,06,23,30.4,27.9,5,13.5,Ecrou,Non,4 Vis,16,6S,"22,2",150MM,20AWG,1332,,,50-60A,5-6 Inch,60,,,,,https://www.3bhobby.com/20/33.html,https://imgaz.staticbg.com/images/oaupload/banggood/images/29/47/e2c17933-ddc9-4d0a-aaec-28b6e37ad9df.jpg
,,3BHO-2306-2600,3BHOBBY,3BF 2306,20-24 Series,V1,2306,2600,29,06,23,30.4,27.9,5,13.5,Ecrou,Non,4 Vis,16,6S,"22,2",150MM,20AWG,1332,,,50-60A,5-6 Inch,60,,,,,https://www.3bhobby.com/20/33.html,https://imgaz.staticbg.com/images/oaupload/banggood/images/29/47/e2c17933-ddc9-4d0a-aaec-28b6e37ad9df.jpg
,,3BHO-2407-1700,3BHOBBY,3BH-2407,20-24 Series,PRO,2407,1700,32.6,07,24,31,28.72,5,13.2,Ecrou,Non,4 Vis,16,6S,"22,2",150MM,20AWG,1332,,,40-60A,4-6 Inch,60,,,,,https://www.3bhobby.com/20/27.html,https://www.3bhobby.com/Apps/Home/View/default/Public/img/product_detail01.png
,,3BHO-2407-2100,3BHOBBY,3BH-2407,20-24 Series,PRO,2407,2100,32.6,07,24,31,28.72,5,13.2,Ecrou,Non,4 Vis,16,6S,"22,2",150MM,20AWG,1332,,,40-60A,4-6 Inch,60,,,,,https://www.3bhobby.com/20/27.html,https://www.3bhobby.com/Apps/Home/View/default/Public/img/product_detail01.png
,,3BHO-2407-2400,3BHOBBY,3BH-2407,20-24 Series,PRO,2407,2400,32.6,07,24,31,28.72,5,13.2,Ecrou,Non,4 Vis,16,6S,"22,2",150MM,20AWG,1332,,,40-60A,4-6 Inch,60,,,,,https://www.3bhobby.com/20/27.html,https://www.3bhobby.com/Apps/Home/View/default/Public/img/product_detail01.png
,,3BHO-2407-2600,3BHOBBY,3BH-2407,20-24 Series,PRO,2407,2600,32.6,07,24,31,28.72,5,13.2,Ecrou,Non,4 Vis,16,6S,"22,2",150MM,20AWG,1332,,,40-60A,4-6 Inch,60,,,,,https://www.3bhobby.com/20/27.html,https://www.3bhobby.com/Apps/Home/View/default/Public/img/product_detail01.png
,,3BHO-2408-1900,3BHOBBY,3BH-2408,20-24 Series,V1,2408,1900,38,08,24,32.1,28.72,5,12.7,Ecrou,Non,4 Vis,16,6S,"22,2",150MM,18AWG,1110,,,40-50A,5-7 Inch,50,,,,,https://www.3bhobby.com/20/29.html,https://cdn.getfpv.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/b/3b-2408-popo-main_2.jpg
